order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,ExtractTime_x,source_x,late_delivery,latency_days,weekend,status_description,item_id,product_id,quantity,list_price_x,discount,ExtractTime_y,source_y,key,list_price_egp,product_name_order_item,brand_id_order_item,category_id_order_item,model_year_order_item,list_price_y,ExtractTime_order_item,source_order_item,product_name_product,brand_id_product,category_id_product,model_year_product,list_price,ExtractTime_product,source_product
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,3,26,1,599.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2024-04-30 12:20:28.415583,DataLake
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,1,13,1,269.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,2,17,2,429.0,0.05,2024-04-28 17:37:45.218693,Oracle,1,20548.1133,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,3,20,2,599.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,True,Completed,4,16,2,599.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,2024-04-28 17:37:45.251245,Oracle,True,1,False,Completed,1,6,1,469.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,22511.440023,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2024-04-30 12:20:28.415583,DataLake,Surly Ice Cream Truck Frameset - 2016,8,6,2016,469.99,2024-04-30 12:20:28.415583,DataLake
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-28 17:37:45.251245,Oracle,True,2,False,Completed,1,12,2,549.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,26343.256023,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 12:20:28.415583,DataLake
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-28 17:37:45.251245,Oracle,True,2,False,Completed,2,8,1,1799.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,86215.381023,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-28 17:37:45.251245,Oracle,True,2,False,Completed,3,18,2,449.0,0.05,2024-04-28 17:37:45.218693,Oracle,1,21506.0673,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,2024-04-28 17:37:45.251245,Oracle,True,2,False,Completed,4,23,2,299.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,14368.831023,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,1,8,1,1799.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,86215.381023,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,2,21,1,269.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,3,13,2,269.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,4,14,1,269.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,1,8,1,1799.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,86215.381023,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,2,23,1,299.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,14368.831023,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,3,5,1,1320.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,63272.382723,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,4,20,2,599.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - Women's - 2016,1,3,2016,599.99,2024-04-30 12:20:28.415583,DataLake
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,1,2,2,749.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,35922.796023,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,2,22,1,269.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,3,7,1,3999.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,191590.321023,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,4,25,2,499.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,23948.371023,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D - 2015/2016,1,2,2016,499.99,2024-04-30 12:20:28.415583,DataLake
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,5,9,2,2999.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,143692.621023,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,1,10,1,1549.0,0.07,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,2,9,2,2999.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,143692.621023,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-04-28 17:37:45.251245,Oracle,True,1,True,Completed,1,9,1,2999.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,143692.621023,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake,Trek Conduit+ - 2016,9,5,2016,2999.99,2024-04-30 12:20:28.415583,DataLake
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,2024-04-28 17:37:45.251245,Oracle,True,1,True,Completed,2,10,2,1549.0,0.07,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-28 17:37:45.251245,Oracle,True,2,True,Completed,1,14,1,269.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-28 17:37:45.251245,Oracle,True,2,True,Completed,2,17,1,429.0,0.1,2024-04-28 17:37:45.218693,Oracle,1,20548.1133,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles Vine 8-Speed - 2016,4,3,2016,429.0,2024-04-30 12:20:28.415583,DataLake
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,2024-04-28 17:37:45.251245,Oracle,True,2,True,Completed,3,10,1,1549.0,0.07,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-04-28 17:37:45.251245,Oracle,False,-1,True,Completed,1,15,2,529.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,25385.302023,Electra Moto 1 - 2016,1,3,2016,529.99,2024-04-30 12:20:28.415583,DataLake,Electra Moto 1 - 2016,1,3,2016,529.99,2024-04-30 12:20:28.415583,DataLake
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,2024-04-28 17:37:45.251245,Oracle,False,-1,True,Completed,2,22,1,269.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,1,4,2,2899.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,138902.851023,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-30 12:20:28.415583,DataLake,Trek Fuel EX 8 29 - 2016,9,6,2016,2899.99,2024-04-30 12:20:28.415583,DataLake
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,2,23,2,299.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,14368.831023,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,3,13,1,269.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,1,3,2,999.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,47897.221023,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-30 12:20:28.415583,DataLake,Surly Wednesday Frameset - 2016,8,6,2016,999.99,2024-04-30 12:20:28.415583,DataLake
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,2,18,2,449.0,0.07,2024-04-28 17:37:45.218693,Oracle,1,21506.0673,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles Western 3-Speed - Women's - 2015/2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,1,23,2,299.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,14368.831023,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,1,1,2016,299.99,2024-04-30 12:20:28.415583,DataLake
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,2,10,2,1549.0,0.2,2024-04-28 17:37:45.218693,Oracle,1,74193.5373,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake,Surly Straggler - 2016,8,4,2016,1549.0,2024-04-30 12:20:28.415583,DataLake
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,3,22,1,269.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,4,14,1,269.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,1,3,2016,269.99,2024-04-30 12:20:28.415583,DataLake
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,False,0,False,Completed,5,21,1,269.99,0.1,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,1,7,1,3999.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,191590.321023,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,2,2,1,749.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,35922.796023,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake,Ritchey Timberwolf Frameset - 2016,5,6,2016,749.99,2024-04-30 12:20:28.415583,DataLake
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,3,12,1,549.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,26343.256023,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 21D - 2016,1,3,2016,549.99,2024-04-30 12:20:28.415583,DataLake
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2024-04-28 17:37:45.251245,Oracle,False,-2,False,Completed,4,21,2,269.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,12931.900023,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake,Electra Cruiser 1 (24-Inch) - 2016,1,1,2016,269.99,2024-04-30 12:20:28.415583,DataLake
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,1,5,1,1320.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,63272.382723,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,2,19,1,449.0,0.2,2024-04-28 17:37:45.218693,Oracle,1,21506.0673,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake,Pure Cycles William 3-Speed - 2016,4,3,2016,449.0,2024-04-30 12:20:28.415583,DataLake
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,3,26,2,599.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,28738.141023,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2024-04-30 12:20:28.415583,DataLake,Electra Townie Original 7D EQ - 2016,1,2,2016,599.99,2024-04-30 12:20:28.415583,DataLake
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2024-04-28 17:37:45.251245,Oracle,False,-1,False,Completed,4,8,1,1799.99,0.07,2024-04-28 17:37:45.218693,Oracle,1,86215.381023,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake,Trek Remedy 29 Carbon Frameset - 2016,9,6,2016,1799.99,2024-04-30 12:20:28.415583,DataLake
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,True,1,False,Completed,1,5,1,1320.99,0.05,2024-04-28 17:37:45.218693,Oracle,1,63272.382723,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake,Heller Shagamaw Frame - 2016,3,6,2016,1320.99,2024-04-30 12:20:28.415583,DataLake
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2024-04-28 17:37:45.251245,Oracle,True,1,False,Completed,2,7,2,3999.99,0.2,2024-04-28 17:37:45.218693,Oracle,1,191590.321023,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake,Trek Slash 8 27.5 - 2016,9,6,2016,3999.99,2024-04-30 12:20:28.415583,DataLake
